tweet,subjectivity,polarity,score
" 
 

 
STOP THE STEAL 
GOP STATE SENATORS 
SIGN THE SPECIAL SESSION PETITION
OR 
BE REPLACED IN THE NEXT ELECTION 
BY 
PATRIOTS 

INVESTIGATE THE ELECTION

JOIN THE RALLY",0.285714286,0.178571429,Positive
"If someone is hurt, or worse, by an armed Trump supporter; due to his lying rhetoric; Trump should be held accountable. Standing outside someone’s home, armed with weapons, is not okay. Yelling “Stop the steal” into someone’s home, with bullhorns, is not okay.
FactsMatter",0.405,-0.205,Negative
" Instead of the Trump/Russia hashtag of Stop the Steal, can we say StoptheScam or StoptheGrift at Team Trump instead?",0,0,Neutral
  Stand up GA! Stop the Steal Digital Soldiers Fight like a Flynn,0,0,Neutral
  Stop the Steal! Even if it means Martial Law,0,0,Neutral
" Why is the Law &amp; Order gang lying to America, suppressing votes &amp; trying to steal elections? Why did you lie to investigators, do nothing to stop sexual molestation of your wrestlers, and then why did you tamper with witnesses and suborn perjury? Why can’t you pass the bar exam?",0.833333333,0.5,Positive
Oregon's Stop the Steal peaceful protest Dr. Explains the Truth Behind the Masks 11/7/2020  via ,0.6,-0.075,Negative
   Let’s stop the steal!! StopTheSteaI2020,0,0,Neutral
"Apparent corruption at that court level, too. The chaos brought on by this election steal is bringing to light one thing...that activist Judges have permeated our lower court systems. It's depicable! Time to move it up the chain...ultimate stop...the Supreme Court. StopTheSteal ",0.525,0.275,Positive
"Stop the threats, stop the steal. ",0,0,Neutral
" My favorite president in history, thank you president Trump and may he stop the steal!",1,0.625,Positive
"""Stop the steal"" protesters threaten Michigan official at home ",0,0,Neutral
  Stop the steal,0,0,Neutral
Stop The Steal: Arizona Lawmakers Suing To Audit Dominion Voting Machines  ,0,0,Neutral
 🇺🇸STOP THE STEAL 🇺🇸,0,0,Neutral
 not for long if we don't stop the steal!,0.4,-0.0625,Negative
        Stop the steal,0,0,Neutral
" 

 
STOP THE STEAL 
GOP STATE SENATORS 
SIGN THE SPECIAL SESSION PETITION
OR 
BE REPLACED IN THE NEXT ELECTION 
BY 
PATRIOTS 

INVESTIGATE THE ELECTION

JOIN THE RALLY",0.285714286,0.178571429,Positive
 Stop the Steal lol,0.7,0.8,Positive
" 
 
STOP THE STEAL 
GOP STATE SENATORS 
SIGN THE SPECIAL SESSION PETITION
OR 
BE REPLACED IN THE NEXT ELECTION 
BY 
PATRIOTS 

INVESTIGATE THE ELECTION

JOIN THE RALLY",0.285714286,0.178571429,Positive
  🇺🇸STOP THE STEAL 🇺🇸,0,0,Neutral
 'Stop the Steal'?,0,0,Neutral
 I look forward to your Stop The Steal rallies in Charlotte and Indianapolis,0,0,Neutral
" 
 
STOP THE STEAL 
GOP STATE SENATORS 
SIGN THE SPECIAL SESSION PETITION
OR 
BE REPLACED IN THE NEXT ELECTION 
BY 
PATRIOTS 

INVESTIGATE THE ELECTION",0.285714286,0.178571429,Positive
"Stop the steal...these ppl are not having it with this election being stolen...America is tired of the cheating and stealing of our most sacred RIGHT...

Dozens of protesters gathered outside home of Michigan elections chief ",0.446428571,0.096428571,Positive
KRAKEN RELEASED! STOP THE STEAL Rally in Georgia AWAKENS a Populist GIAN...  via ,0,0,Neutral
 STOP THE STEAL do what is right,0.535714286,0.285714286,Positive
Armed 'Stop The Steal' Idiots Show Up At Home Of Michigan Secretary Of State |  ,0.8,-0.8,Negative
The fraud is real. STOP THE STEAL! ElectionIntegrity StopTheSteaI DemsCheated,0.3,0.25,Positive
 STOP THE STEAL do what is RIGHT!,0.535714286,0.357142857,Positive
  Stop the steal from democrats party,0,0,Neutral
 Stop the steal from democrats party and corrupt democrats party.,1,-0.5,Negative
Michigan Secretary of State Jocelyn Benson's home picketed by armed 'Stop the Steal' protesters alleging voter fraud - The Washington Post ,0,0,Neutral
 STOP the steal! If your in favor please resign.,0,0,Neutral
"  The enemy will always want to try to stop and block and steal if he can , to take away what God wants for you ! Hear God’s voice and let it be settled in your heart , for the Lord is in control ! Amen!",0.1,0.390625,Positive
" 
STOP THE STEAL 
GOP STATE SENATORS 
SIGN THE SPECIAL SESSION PETITION
OR 
BE REPLACED IN THE NEXT ELECTION 
BY 
PATRIOTS 

INVESTIGATE THE ELECTION",0.285714286,0.178571429,Positive
These 'stop the steal' nuts are four years too late... when trump stole the presidency from Hillary! They were A-OK with that steal!,0.6,-0.46875,Negative
" You allowed Antifa and BLM to riot, loot, steal, burn, and destroy NYC during the height of the COVID-19 pandemic. 

What you say now means absolutely nothing. 

You can't tell people to stop living there lives. 

WorstMayorEver",0.45,0,Neutral
" Listening to you now on   and I can’t disagree with you more RE: Fox betrayal of  The betrayal is happening in NOT REPORTING the FRAUDULENT ELECTION. TOTAL MISADVENTURE BY FOX. FYI Trump is holding the whole nation up, STOP THE STEAL or AMERICA FAILS! ",0.4875,0.01875,Positive
   STOP THE STEAL! The WH china and serving plates are next! ,0,0,Neutral
"      Trump &amp; the Republicans are laughing at Trump's supporters.They are willing to go to any length to steal from the ones who worship this awful man. His supporters are  chanting ""Stop the steal""! it's sad that they are that naive to not know enough that he is stealing from them",0.85,-0.31,Negative
 So...stealing from gullible idiots is the point of “Stop The Steal”,0.8,-0.8,Negative
" 
 
STOP THE STEAL 
GOP STATE SENATORS 
SIGN THE SPECIAL SESSION PETITION
OR 
BE REPLACED IN THE NEXT ELECTION 
BY 
PATRIOTS",0.285714286,0.178571429,Positive
STOP THE STEAL,0,0,Neutral
I found that strange also. Stop the steal. ,0.15,-0.05,Negative
   Stop the steal from democrats and Obama,0,0,Neutral
  Only weak Republicans would vote in ANOTHER rigged election! Boycott the January runoff elections!! Stop the steal!,0.8125,-0.457763672,Negative
"  Russians stole the 2016 election 4 years later but you didn’t steal this one and you are already tired of us? Hahahaha we are NEVER gonna stop, fake election. Biden will never be president",0.55,-0.175,Negative
 STOP the steal. If your in favor then please resign.     ChinaJoeBiden,0,0,Neutral
        STOP THE STEAL,0,0,Neutral
   What they really mean is for Trump and his cohorts to stop the steal of separating Trump supporters from their money to fight an election 45 knows is valid and that he lost : Stop stealing donations from your own supporters that’s the fraud and theft !!,0.84375,0.3125,Positive
 Stop the steal!!!,0,0,Neutral
" The truth?  Where's the fraud?  How did Stacy Abrams steal votes?

Stop with your bullshit, give us some facts.",0,0,Neutral
 Stop the steal,0,0,Neutral
  Stop the steal.,0,0,Neutral
"This is rediculous

""Stop the steal"" protesters threaten Michigan official at home ",0,0,Neutral
