tweet,subjectivity,polarity,score
"We FBA aren't immigrants as we're native to the land.
: Is anyone on Earth not an immigrant?.

FBAVOICES Tangibles2020",0,0,Neutral
" Ok, so what has changed , exactly ?
",0.375,0.375,Positive
"So, Black Georgians...

Is that Warnock guy fighting to get tangibles specifically for Black folks, and address specific Black issues?

Or is he a typical worthless democrat, like those in the Congressional Black Caucus?

GAdebate GeorgiaDebates 
Tangibles2020 Georgia",0.46547619,-0.233333333,Negative
"SleepyJoeBiden
",0,0,Neutral
neverforget thisisamerica tangibles2020 crimesagainsthumanity biologicalwarfare freedomordeath reparations reparations2020 reparationsnow freetheland sankofa discrimination disenfranchise ,0,0,Neutral
Clip of ojsimpson speaking at a stevecokely lecture on the latest episode of peopleactivityradio podcast hosted by johnghorse. fba tangibles2020 propaganda NoAntiBlackRacism YouTube Channel:  ,0.5,0.2,Positive
"Time to start ORGANIZING 24hr DAYTIME PROTESTS...

Blocking the streets at night is clearly not sending across ReparationsNow / Tangibles2020

WS feels safe dangling Tuskegee Experiment 3.0 over Blacks' noses...

(T2.0 targeted Blacks in Guatemala)
NoAntiBlackRacism🤷🏿‍♂️ ",0.441666667,0.225,Positive
" Time to start ORGANIZING 24hr DAYTIME PROTESTS...

Blocking the streets at night is clearly not sending across ReparationsNow / Tangibles2020

WS feels safe dangling Tuskegee Experiment 3.0 over Blacks' noses...

(T2.0 targeted Blacks in Guatemala)
NoAntiBlackRacism",0.441666667,0.225,Positive
"The democrats prioritize illegalaliens Meanwhile, FBA in particular, elderly BlackWomen are left on the streets.

Expect more of this as bidenharris will intensify the 'benign neglect' policies against us.
Blackgirlmagic FBAVOICES Tangibles2020 NoAntiBlackRacism ",0.277777778,0.222222222,Positive
"FBA this is yet another example of hustlingbackwards.

You make your demands BEFORE you vote.
🤦🏾‍♂️
FBAVOICES Tangibles2020 ",0,0,Neutral
tangibles2020 ,0,0,Neutral
"Much love to the FBA family and our riders! ✊🏾✊🏾✊🏾
FBAVOICES FBALIFE Tangibles2020 ",0.6,0.625,Positive
"Notice how they continue to credit everyone else but FBA for the eletion of bidenharris?
Tangibles2020 
Majority of Muslims Voted For Biden, But Trump Got More Support Than He Did In 2016.

    ",0.5,0.5,Positive
 My family is on here SPEAKING FACTS TODAY💪🏿💪🏿💪🏿👑👑 F*ck all the BS Reperations Tangibles2020,0,0,Neutral
"Notice how she's silent on Reparations and says absolutely nothing about punishing the cops or ending white supremacy?

The GreenNewDeal and climatechange isn't a priority for us. 
Tangibles2020 FBAVOICES ",0.333333333,0.066666667,Positive
" BlueMAGA showing its true colors 

P.S. Still waiting on  and  about that meeting with  1 month after the election concerning specific policies for FBA 

B1 Tangibles2020 CongressionalBlackConJob 

",0.3875,0.175,Positive
 We discuss the boule on the latest episode of peopleactivityradio podcast hosted by johnghorse noantiblackracism neelyfullerjr vgq tangibles2020 fba ados doas cutthecheck YouTube Channel:  ,0.9,0.5,Positive
"FBA the bootlicks never learn.

 has coined the phrase ""You can't trust them old n""

Look at how stupid he looks now?

HustlingBackwards FBAVOICES Tangibles2020",0.6,-0.35,Negative
Sexism worse than Racism come on  this is definitely an overplay! I rock with you but this statement you tripping! NoAntiBlackRacism tangibles2020,0.55,-0.2,Negative
"This is a glimpse of what the next four years will look like.

Under BidenHarris we'll continue to have to fight rws but, now also the ""people of color"" coalition will be emboldened to attack us.
NoAntiBlackRacism antiblackwar Tangibles2020 racism 
 ",0,0,Neutral
"FBA This is a joke. KamalaHarrisVP already said ""you think I'm gonna do something only for Black people NOOOO!""

biden has doenothing positive for us as a senator or VP.
NoAntiBlackRacism Tangibles2020 FBAVOICES 
",0.65959596,0.006313131,Positive
"Nina Simone  FOUR WOMEN 

",0,0,Neutral
" MichaelJackson TheyDontCareAboutUs HIStory
Michael Jackson - They Don't Care About Us (Prison Version) (Official Video)

",0,0,Neutral
"Hold Ya Head

",0,0,Neutral
"  CIVICS, REPARATIONS &amp; ADVANCED POLITICAL ENGAGEMENT: 

IF YOU DON'T UNDERSTAND WHITE SUPREMACY, WHAT IT IS, HOW IT WORKS, EVERYTHING ELSE THAT YOU THINK YOU UNDERSTAND, WILL ONLY CONFUSE YOU! NEELY FULLER JR＇＇

THE BLACK AUTHORITY  RACE WAR! ",0.426666667,0.038333333,Positive
"  CIVICS, REPARATIONS &amp; ADVANCED POLITICAL ENGAGEMENT: 

AS LONG AS WHITE SUPREMACY EXISTS, ALWAYS THINK, SPEAK, AND ACT AS IF YOU ARE IN A 'BATTLE ZONE' AND THAT PEOPLE (WHITE OR NON-WHITE) MAY DO YOU BODILY HARM AT ANY TIME, IN ANY PLACE. ＇ ＇ ",0.2,0.058333333,Positive
"White Man'z World
",0,0,Neutral
" HOW  WILL BE REMEMBERED

""THE 'GOVERNMENT OF RACISM'

WE HAVE ALWAYS GIVEN OUR NEGROES WATERMELON DAY ON THE PLANTATION. HE DIDN'T GET ANYTHING DONE FOR BLACKS, DIDN'T DO ANYTHING ABOUT MONEY BUT HE HELPED US (WHITE SUPREMACY) KILL A LOT OF PEOPLE!""

NEELY FULLER JR ",0,0,Neutral
" CIVICS, REPARATIONS &amp; ADVANCED POLITICAL ENGAGEMENT:

LESSON 1- WHATEVER IT IS THAT YOU MISS, IS HOW THEY GET YOU!＇＇

NEELY FULLER JR ",0.35,0.2,Positive
