tweet,subjectivity,polarity,score
"""I Saw Voter Fraud!"" - Michigan Election Observer Was Witness to Fraud but Was Kicked Out of TCF When He Started Recording the Fraud (Video) via  ",0,0,Neutral
"   This 2024 idea has to be the dumbest thing I’ve heard in a while.... 

If Trump “can’t win” now with all the voter fraud, do you honestly think he’ll win in 2024 after the Democrats change everything?",0.566666667,0.733333333,Positive
 There was massi ve voter fraud in 2016.  But Hillary didn't direct it to the correct precincts.,0.4,0.1,Positive
"   Joe Biden did NOT exploit coronavirus to push mass mail-in voting to open the door to mass voter fraud and rig the election!!

He’s not coherent enough. 

But the Left did.",0.425,-0.0625,Negative
    SCOTUS is not taking the case and not overturning the election based on conspiracy theories... trump lost... we had a legitimate election... very secure election as per the DHS.... get over it ... even the DOJ said no evidence of widespread voter fraud....,0.78,0.52,Positive
"CNN reporter grills organizer raising money on Trump's false election claims

",0.6,-0.4,Negative
"  And F*ked up Twitter labels this as 'questionable voter fraud'

Not ONE fukin word says anything about fraud....

WTF. Twitter is part of the deep state!!",0.8,-0.333333333,Negative
" The now-disbanded voting integrity commission launched by the Trump administration uncovered no evidence to support claims of widespread voter fraud in the 2016 election, and his accusations of fraud in the 2020 election are also false. 
TrumpLost 
TrumpThreatensAmerica",0.6,-0.4,Negative
"When he noted tens of thousands of brand-new voters after the poll book was had already been updated, he began writing down the names of the suspicious voters but he was then ejected and prevented from continuing. 

",0.288888889,-0.155555556,Negative
It’s a PR strategy to erode public confidence in a very well-run election to achieve political ends..,0.155555556,0.066666667,Positive
Voting took place.  We already know this.  It's been over four weeks and not one single person has proven ANY instance of organized voter fraud. ,0.214285714,-0.071428571,Negative
CIt’s a PR strategy to erode public confidence in a very well-run election to achieve political ends..,0.155555556,0.066666667,Positive
Why can't the MSM interview Biden on his Election Fraud in all swing states after all he has put in place the most extensive and inclusive voter fraud organization?,0.416666667,0.25,Positive
"Michigan secretary of state says armed protesters gathered outside her home, claiming voter fraud ",0.05,0,Neutral
" Lindsey, you and yours need to find out where is the DOJ.? Where is the FBI? Why isn’t anyone doing a damn thing about this voter fraud. We the people are losing patience",0,0,Neutral
  The pollsters predicted a landslide Biden win and when it happened there is widespread voter fraud.,0.4,0.8,Positive
"  I read it...apparently you didn't.  Bowers isn't making any statement for or against voter fraud accusations, he is simply stating that they cannot change the selection of electors due to state law.  You colored this in a very inaccurate way...",0.344047619,0.025,Positive
YouTube Link of Today's Voter Fraud Court Hearing in Georgia Is SET TO PRIVATE After Sidney Powell Promoted It -- What the Hell is Going On? via  ,0.375,0,Neutral
"    KDTG is afraid of black women like Brittany. When Britany votes it's cheating, when KDTG votes it's patriotic. It's not about voter fraud, it's about fear. Black women will change America, thats a good thing. Keep voting Brittany you're a patriot.",0.591666667,-0.058333333,Negative
"  What colour is the sky in your world (over all those money trees)?

Biden has confessed not only to bribery &amp; corruption but to having the largest most inclusive voter fraud organisation in the history of US politics.

Even the gullible &amp; easily fooled have to say “Cmon, Man!”",0.777777778,0.347222222,Positive
" Fraude is er altijd in de V.S. met verkiezingen.

""Voter Fraud Map: Election Fraud Database | The Heritage Foundation"" ",0,0,Neutral
 Funny to see CNN now expressing concern when protestors exercising their rights are gathered out in front of Michigan's Secretary Of State's home when they didn't give a damn when ultra violent Antifa targeted Republican's homes. ,1,-0.275,Negative
"COVID, COVID, COVID  24/7 Democrats &amp; Main-Stream-Media are flooding the air waves speaking about COVID. This is to take attention away from the investigation of election / voter fraud &amp; the fact that Biden is not officially President-Elect. No one officially one yet.",0,0,Neutral
trap DIRTY PLAYERS OF VOTER FRAUD NOWAYOUT,0.8,-0.6,Negative
  Oh Pam. Remember when trump appointed a commission to investigate voter fraud because he couldn't believe he didn't win the popular vote in 2016? That led nowhere. Don't be dumb. trump wants you to believe in election fraud to distract you from fact he's the biggest fraud of all.,0.475,0.30625,Positive
Armed protesters alleging voter fraud surrounded the home of Michigan’s secretary of state ,0,0,Neutral
 And what’s going on with  and his attempt at voter fraud?,0,0,Neutral
 Very guilty of voter fraud,1,-0.65,Negative
  You framed this as if Bowers doesn't agree that voter fraud occurred....when actually his statement simply says that the legislature isn't able to change the way electors are chosen due to state law.  Major difference.,0.391428571,0.0875,Positive
 They ran a coordinated election fraud across every swing state and probably more.. remember when joebiden said the QUIET PART out loud?   He told us exactly what they had .. a “voter fraud operation”.,0.470833333,0.2125,Positive
Boris doesnt want the same problems a the US election fraud. ,0.125,0,Neutral
"     You're a fool. If a D Pres was elected 1st time w 3M fewer votes, never reached 50pc approval, and lied/downplayed a pandemic that took a QUARTER MILLION LIVES you would be saying only voter fraud can explain how he WON. Trump lost bc he had a shit 1st term record.",0.9,-0.1,Negative
"    My ""stance"" on voter fraud has always been that I'm against it.  I doubt you will find anywhere on my timeline where I have ever been in favor of it.",0,0,Neutral
    Yeah and she has a record of doing crazy stuff when she was in the military. Also she started cosigning the voter fraud conspiracies 2 months ago that Project Veritas created.,0.5,-0.35,Negative
   Well that's convenient because I never claimed Trump benefited from voter fraud.,0,0,Neutral
"   ""call came in to continue"" just after officials were already asked to leave the room 🤦 So now you count in secret, ballots from black suitcases. Had this being reversed you would've screamed voter fraud for the next 4 years. It's the death of democracy. You openly support fraud.",0.408333333,-0.141666667,Negative
"Michigan secretary of state says armed protesters gathered outside her home, claiming voter fraud

",0.05,0,Neutral
