tweet,subjectivity,polarity,score
  It is unbelievable. Also it's frustrating how EVERY single American isn't raising hell about it. Have we lost our ability to know    right from wrong. Perhaps CNN enjoys being the biggest arm of the lamestream media. ItsJustWrong,0.591666667,-0.155952381,Negative
  Martial law for what? There are pretty well defined statutes that prevent it's usage in elections. Do your own research vs. listening to the lamestream media like  and ,0.666666667,0.283333333,Positive
 Call 'em legacy media or lamestream media. 😉,0,0,Neutral
 The Lamestream Media knows exactly what they are doing.  They are in a fight with each other to become the official State Propaganda Media where no one is permitted to question them.,0.241666667,0.008333333,Positive
"Ganja posse in the area. 5G overnment CONTROL. VAX =IV MIND CONTROL Bill Gates takeover Patrol - SPACe cakes open mind GATES / Ignore LAMESTREAM Media  B liar 

Ian Brown,
Cheshire",0.5,0,Neutral
And many are going to be in total shock when they realize their beloved Lamestream media has been lying to them. ,0.75,0.4,Positive
"   Congratulations. You're yet another person who believes in the ideal of ""lamestream"" media. As a result you are not allowed to seek educational venture via Twitter, Facebook and etc (as that is media) and thus you must retort to accepting only what your neighbors say as fact.....",0.75,0.383333333,Positive
"El poder oculto desesperado via LAMESTREAM MEDIA...son cómplices del fraude 
The Deep State Media Threw Me Under the Bus! I'm Protected &amp; Indestructible! Pay Back Is Coming! - Michael Jaco Must Video | Opinion - Conservative ",0.2,0,Neutral
" It's no longer Lamestream media, it's Shameful media.",0,0,Neutral
"    ""Boom?"" Where? Trump lost. There is no ""Boom"" here. This is a message from the ""lamestream"" media that Trumpies seem to think is always lying. But not *this* time. I wonder why? Doesn't matter, there's no way a county (or even one state) is going to save Trump. BidenHarris2020",0,0,Neutral
  The last time something this sinister happened in GA the devil lost a golden fiddle. The lamestream media is hiding the fact that Charlie Daniels won this election BY A LOT!!! Q told me personally anyone who doesn't believe that is a pedophile.,0.466666667,0.021484375,Positive
"  😂😂😂😂 looks like lamestream media has brainwashed you. All sorts of death are being blamed on covid. Car accidents, accidental overdoses, common cold ect... get a grip",0.75,-0.45,Negative
" Amen. Thanks for remembering, Mr. President. The Lamestream media  and Radical Left want to forget in favor of progressivism.",0.1,0.1,Positive
 And will your dad be given any credit by the lamestream media for making this incredible feat happen? What do you think?,0.9,0.9,Positive
" if the cowards in the lamestream media won't say it someone has to, I'm hot for santa!",0.85,0.3125,Positive
 Never trust LAMEstream media!,0,0,Neutral
